ID_focal,biomass,biomass_next,growth,NB1,NB2,NB3,NB4,NB5,NB6,NB7,NB8,sp_NB1,sp_NB2,sp_NB3,sp_NB4,sp_NB5,sp_NB6,sp_NB7,sp_NB8,plot_richness,sp,plotID_1,plotID_2,year,spp,spy
10,8409.691675,10542.65426,2132.962585,17606.66333,0,2708.36954,0,10390.06153,12247.81124,0,5222.30163,1,5,1,1,1,1,5,1,2,Nyssa sinensis,A,C32,4,Nyssa sinensis C32,Nyssa sinensis 4
10,10542.65426,11611.79898,1069.14472,22351.9226,0,5159.351221,0,17466.0346,18766.12679,0,10220.08596,1,5,1,1,1,1,5,1,2,Nyssa sinensis,A,C32,5,Nyssa sinensis C32,Nyssa sinensis 5
10,11611.79898,12664.21861,1052.41963,34054.88965,0,5939.796517,0,19793.26719,20407.59601,0,13928.73915,1,5,1,1,1,1,5,1,2,Nyssa sinensis,A,C32,6,Nyssa sinensis C32,Nyssa sinensis 6
11,269.4897448,1168.986626,899.4968812,0,49.04713356,115.8781948,264.004524,118.3814551,0,276.2449544,60.36570284,5,1,1,5,1,5,1,1,2,Castanea henryi,A,C32,1,Castanea henryi C32,Castanea henryi 1
11,1168.986626,5538.313689,4369.327063,0,284.4613973,291.480108,1615.029951,391.1697544,0,787.0537827,642.6432115,5,1,1,5,1,5,1,1,2,Castanea henryi,A,C32,2,Castanea henryi C32,Castanea henryi 2
11,5538.313689,10390.06153,4851.747841,0,1456.442354,1149.822911,4653.925905,1550.224785,0,2207.65999,646.7753876,5,1,1,5,1,5,1,1,2,Castanea henryi,A,C32,3,Castanea henryi C32,Castanea henryi 3
11,10390.06153,17466.0346,7075.97307,0,2708.36954,4148.126287,8409.691675,3953.608589,0,5222.30163,0,5,1,1,5,1,5,1,1,2,Castanea henryi,A,C32,4,Castanea henryi C32,Castanea henryi 4
11,17466.0346,19793.26719,2327.23259,0,5159.351221,9200.434984,10542.65426,8098.436321,0,10220.08596,0,5,1,1,5,1,5,1,1,2,Castanea henryi,A,C32,5,Castanea henryi C32,Castanea henryi 5
11,19793.26719,26207.30038,6414.03319,0,5939.796517,13079.06673,11611.79898,15766.88678,0,13928.73915,0,5,1,1,5,1,5,1,1,2,Castanea henryi,A,C32,6,Castanea henryi C32,Castanea henryi 6
12,118.3814551,391.1697544,272.7882993,49.04713356,115.8781948,236.576653,269.4897448,41.70024425,276.2449544,60.36570284,50.70719038,1,1,5,1,1,1,1,1,2,Castanea henryi,A,C32,1,Castanea henryi C32,Castanea henryi 1
12,391.1697544,1550.224785,1159.055031,284.4613973,291.480108,1161.493732,1168.986626,214.4898822,787.0537827,642.6432115,431.1835917,1,1,5,1,1,1,1,1,2,Castanea henryi,A,C32,2,Castanea henryi C32,Castanea henryi 2
12,1550.224785,3953.608589,2403.383804,1456.442354,1149.822911,3749.176673,5538.313689,782.5982189,2207.65999,646.7753876,958.1857593,1,1,5,1,1,1,1,1,2,Castanea henryi,A,C32,3,Castanea henryi C32,Castanea henryi 3
12,3953.608589,8098.436321,4144.827732,2708.36954,4148.126287,6398.835187,10390.06153,2279.408939,5222.30163,0,2588.443609,1,1,5,1,1,1,1,1,2,Castanea henryi,A,C32,4,Castanea henryi C32,Castanea henryi 4
12,8098.436321,15766.88678,7668.450459,5159.351221,9200.434984,9301.89208,17466.0346,5202.111458,10220.08596,0,4387.11099,1,1,5,1,1,1,1,1,2,Castanea henryi,A,C32,5,Castanea henryi C32,Castanea henryi 5
12,15766.88678,20427.16396,4660.27718,5939.796517,13079.06673,13574.29269,19793.26719,7473.501581,13928.73915,0,7337.87877,1,1,5,1,1,1,1,1,2,Castanea henryi,A,C32,6,Castanea henryi C32,Castanea henryi 6
13,320.3933633,1799.137491,1478.744128,510.3566746,0,264.004524,577.7860129,0,1.856484909,67.16473766,291.9472236,5,1,5,1,5,1,5,1,2,Castanea henryi,A,C32,1,Castanea henryi C32,Castanea henryi 1
13,1799.137491,4656.78279,2857.645299,1684.245521,0,1615.029951,1988.834317,0,0,348.6554057,1165.920432,5,1,5,1,5,1,5,1,2,Castanea henryi,A,C32,2,Castanea henryi C32,Castanea henryi 2
13,4656.78279,12247.81124,7591.02845,4037.574878,0,4653.925905,7277.420842,0,0,1153.592822,3840.528297,5,1,5,1,5,1,5,1,2,Castanea henryi,A,C32,3,Castanea henryi C32,Castanea henryi 3
13,12247.81124,18766.12679,6518.31555,6599.857748,0,8409.691675,17147.4013,0,0,2389.893844,9863.32466,5,1,5,1,5,1,5,1,2,Castanea henryi,A,C32,4,Castanea henryi C32,Castanea henryi 4
13,18766.12679,20407.59601,1641.46922,8345.126527,0,10542.65426,27046.59445,0,0,3591.639153,16641.78404,5,1,5,1,5,1,5,1,2,Castanea henryi,A,C32,5,Castanea henryi C32,Castanea henryi 5
13,20407.59601,30080.8789,9673.28289,9578.064906,0,11611.79898,43354.64778,0,0,3997.523578,28795.08703,5,1,5,1,5,1,5,1,2,Castanea henryi,A,C32,6,Castanea henryi C32,Castanea henryi 6
15,276.2449544,787.0537827,510.8088283,264.004524,269.4897448,118.3814551,0,60.36570284,291.9472236,90.84543476,3.712969817,5,1,1,5,1,1,5,1,2,Castanea henryi,A,C32,1,Castanea henryi C32,Castanea henryi 1
15,787.0537827,2207.65999,1420.606207,1615.029951,1168.986626,391.1697544,0,642.6432115,1165.920432,674.8518011,62.91447696,5,1,1,5,1,1,5,1,2,Castanea henryi,A,C32,2,Castanea henryi C32,Castanea henryi 2
15,2207.65999,5222.30163,3014.64164,4653.925905,5538.313689,1550.224785,0,646.7753876,3840.528297,1731.110229,431.1835917,5,1,1,5,1,1,5,1,2,Castanea henryi,A,C32,3,Castanea henryi C32,Castanea henryi 3
15,5222.30163,10220.08596,4997.78433,8409.691675,10390.06153,3953.608589,0,0,9863.32466,3666.280214,2380.420882,5,1,1,5,1,1,5,1,2,Castanea henryi,A,C32,4,Castanea henryi C32,Castanea henryi 4
15,10220.08596,13928.73915,3708.65319,10542.65426,17466.0346,8098.436321,0,0,16641.78404,6772.38847,5181.887151,5,1,1,5,1,1,5,1,2,Castanea henryi,A,C32,5,Castanea henryi C32,Castanea henryi 5
