"","ID_focal","biomass","biomass_next","growth","NB1","NB2","NB3","NB4","NB5","NB6","NB7","NB8","sp_NB1","sp_NB2","sp_NB3","sp_NB4","sp_NB5","sp_NB6","sp_NB7","sp_NB8","plot_richness","sp","plotID_1","plotID_2","year","spp","spy"
"44",12,263.178727,399.6231519,136.4444249,16288.05207,105.8873804,3468.440105,226.2264797,9716.146856,390.4340916,721.4659675,1179.17437,"8","8","8","2","8","2","2","2",2,"Cyclobalanopsis glauca","A","B38/C38",5,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 5"
"45",13,45.99173835,138.2300768,92.23833845,43.54247418,0,5.054037181,30.16871425,12.24632086,1.382300768,50.79955321,96.98096522,"2","2","2","2","2","2","2","8",2,"Cyclobalanopsis glauca","A","B38/C38",2,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 2"
"46",13,616.7048481,1221.081841,604.3769929,722.3180263,0,198.000546,300.3167209,259.1813939,16.63080611,512.7515107,3659.091818,"2","2","2","2","2","2","2","8",2,"Cyclobalanopsis glauca","A","B38/C38",4,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 4"
"47",13,1221.081841,1960.227759,739.145918,1423.945278,0,315.4842321,608.2123377,586.3034105,15.76686813,966.8319132,5598.349917,"2","2","2","2","2","2","2","8",2,"Cyclobalanopsis glauca","A","B38/C38",5,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 5"
"48",13,1960.227759,2405.948482,445.720723,2738.413415,0,529.0410613,1032.328131,1079.110373,22.47534654,1926.346272,11628.31736,"2","2","2","2","2","2","2","8",2,"Cyclobalanopsis glauca","A","B38/C38",6,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 6"
"49",14,1.451415806,12.24632086,10.794905054,0,0.291579068,1.27862821,2.807798434,0.680351159,3.455751919,5.629734035,0.155508836,"2","2","2","2","2","2","8","2",2,"Cyclobalanopsis glauca","A","B38/C38",1,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 1"
"50",14,12.24632086,223.9327243,211.68640344,0,5.054037181,6.496813608,45.99173835,5.9870902,50.79955321,96.98096522,10.49684645,"2","2","2","2","2","2","8","2",2,"Cyclobalanopsis glauca","A","B38/C38",2,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 2"
"51",14,223.9327243,259.1813939,35.2486696,0,56.85791829,34.31129687,138.2300768,99.87123046,258.4297679,259.7704425,85.51474108,"2","2","2","2","2","2","8","2",2,"Cyclobalanopsis glauca","A","B38/C38",3,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 3"
"52",14,259.1813939,586.3034105,327.1220166,0,198.000546,99.87123046,616.7048481,245.6499653,512.7515107,3659.091818,188.5933413,"2","2","2","2","2","2","8","2",2,"Cyclobalanopsis glauca","A","B38/C38",4,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 4"
"53",14,586.3034105,1079.110373,492.8069625,0,315.4842321,226.2264797,1221.081841,390.4340916,966.8319132,5598.349917,448.7293867,"2","2","2","2","2","2","8","2",2,"Cyclobalanopsis glauca","A","B38/C38",5,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 5"
